Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
583,1877.745,178.000000,   178
584,1870.586,170.000000,   170
585,1863.447,176.000000,   176
586,1856.329,178.000000,   178
587,1849.231,184.000000,   184
588,1842.153,172.000000,   172
589,1835.096,175.000000,   175
590,1828.059,170.000000,   170
591,1821.042,176.000000,   176
592,1814.046,173.000000,   173
593,1807.069,174.000000,   174
594,1800.113,174.000000,   174
595,1793.177,176.000000,   176
596,1786.261,181.000000,   181
597,1779.365,180.000000,   180
598,1772.489,171.000000,   171
599,1765.633,175.000000,   175
600,1758.798,170.000000,   170
601,1751.982,175.000000,   175
602,1745.186,176.000000,   176
603,1738.410,167.000000,   167
604,1731.654,167.000000,   167
605,1724.918,174.000000,   174
606,1718.201,183.000000,   183
607,1711.505,176.000000,   176
608,1704.828,180.000000,   180
609,1698.171,173.000000,   173
610,1691.534,176.000000,   176
611,1684.916,182.000000,   182
612,1678.319,180.000000,   180
613,1671.741,181.000000,   181
614,1665.182,171.000000,   171
615,1658.643,176.000000,   176
616,1652.124,172.000000,   172
617,1645.624,178.000000,   178
618,1639.144,175.000000,   175
619,1632.683,176.000000,   176
620,1626.242,171.000000,   171
621,1619.820,168.000000,   168
622,1613.418,167.000000,   167
623,1607.035,174.000000,   174
624,1600.672,177.000000,   177
625,1594.327,169.000000,   169
626,1588.003,175.000000,   175
627,1581.697,172.000000,   172
628,1575.411,181.000000,   181
629,1569.144,162.000000,   162
630,1562.896,184.000000,   184
631,1556.667,179.000000,   179
632,1550.458,171.000000,   171
633,1544.268,175.000000,   175
634,1538.096,167.000000,   167
635,1531.944,175.000000,   175
636,1525.811,182.000000,   182
637,1519.697,177.000000,   177
638,1513.602,178.000000,   178
639,1507.526,179.000000,   179
640,1501.469,174.000000,   174
641,1495.431,172.000000,   172
642,1489.412,179.000000,   179
643,1483.411,166.000000,   166
644,1477.430,174.000000,   174
645,1471.467,172.000000,   172
646,1465.524,172.000000,   172
647,1459.598,182.000000,   182
648,1453.692,175.000000,   175
649,1447.805,178.000000,   178
650,1441.936,178.000000,   178
651,1436.085,172.000000,   172
652,1430.254,179.000000,   179
653,1424.441,169.000000,   169
654,1418.647,170.000000,   170
655,1412.871,173.000000,   173
656,1407.113,171.000000,   171
657,1401.375,176.000000,   176
658,1395.654,183.000000,   183
659,1389.953,170.000000,   170
660,1384.269,179.000000,   179
661,1378.604,172.000000,   172
662,1372.958,178.000000,   178
663,1367.330,174.000000,   174
664,1361.720,166.000000,   166
665,1356.128,170.000000,   170
666,1350.555,177.000000,   177
667,1345.000,179.000000,   179
668,1339.463,173.000000,   173
669,1333.944,176.000000,   176
670,1328.444,172.000000,   172
671,1322.962,181.000000,   181
672,1317.498,179.000000,   179
673,1312.051,171.000000,   171
674,1306.623,170.000000,   170
675,1301.213,172.000000,   172
676,1295.822,173.000000,   173
677,1290.448,174.000000,   174
678,1285.092,166.000000,   166
679,1279.754,175.000000,   175
680,1274.433,176.000000,   176
681,1269.131,176.000000,   176
682,1263.847,173.000000,   173
683,1258.580,177.000000,   177
684,1253.331,171.000000,   171
685,1248.101,170.000000,   170
686,1242.887,161.000000,   161
687,1237.692,179.000000,   179
688,1232.514,177.000000,   177
689,1227.354,175.000000,   175
690,1222.212,171.000000,   171
691,1217.087,177.000000,   177
692,1211.979,175.000000,   175
693,1206.890,169.000000,   169
694,1201.818,178.000000,   178
695,1196.763,175.000000,   175
696,1191.726,185.000000,   185
697,1186.706,181.000000,   181
698,1181.704,173.000000,   173
699,1176.720,180.000000,   180
700,1171.752,169.000000,   169
701,1166.802,176.000000,   176
702,1161.869,171.000000,   171
703,1156.954,174.000000,   174
704,1152.056,164.000000,   164
705,1147.175,174.000000,   174
706,1142.312,179.000000,   179
707,1137.465,164.000000,   164
708,1132.636,178.000000,   178
709,1127.824,180.000000,   180
710,1123.029,174.000000,   174
711,1118.251,169.000000,   169
712,1113.491,172.000000,   172
713,1108.747,175.000000,   175
714,1104.020,175.000000,   175
715,1099.310,166.000000,   166
716,1094.618,167.000000,   167
717,1089.942,173.000000,   173
718,1085.283,181.000000,   181
719,1080.641,177.000000,   177
720,1076.016,173.000000,   173
721,1071.408,168.000000,   168
722,1066.817,180.000000,   180
723,1062.242,180.000000,   180
724,1057.684,175.000000,   175
725,1053.143,176.000000,   176
726,1048.618,182.000000,   182
727,1044.111,176.000000,   176
728,1039.620,178.000000,   178
729,1035.145,177.000000,   177
730,1030.687,176.000000,   176
731,1026.246,181.000000,   181
732,1021.821,185.000000,   185
733,1017.413,177.000000,   177
734,1013.021,177.000000,   177
735,1008.646,166.000000,   166
736,1004.287,173.000000,   173
737,999.945,179.000000,   179
738,995.619,169.000000,   169
739,991.309,179.000000,   179
740,987.016,171.000000,   171
741,982.739,172.000000,   172
742,978.479,185.000000,   185
743,974.234,174.000000,   174
744,970.006,174.000000,   174
745,965.794,171.000000,   171
746,961.599,164.000000,   164
747,957.419,174.000000,   174
748,953.255,171.000000,   171
749,949.108,174.000000,   174
750,944.977,180.000000,   180
751,940.862,176.000000,   176
752,936.763,168.000000,   168
753,932.679,178.000000,   178
754,928.612,163.000000,   163
755,924.561,172.000000,   172
756,920.526,171.000000,   171
757,916.506,173.000000,   173
758,912.503,174.000000,   174
759,908.515,172.000000,   172
760,904.543,181.000000,   181
761,900.587,182.000000,   182
762,896.647,169.000000,   169
763,892.722,173.000000,   173
764,888.813,167.000000,   167
765,884.920,172.000000,   172
766,881.043,176.000000,   176
767,877.181,170.000000,   170
768,873.334,176.000000,   176
769,869.504,173.000000,   173
770,865.689,174.000000,   174
771,861.889,174.000000,   174
772,858.105,175.000000,   175
773,854.336,180.000000,   180
774,850.583,176.000000,   176
775,846.845,176.000000,   176
776,843.123,174.000000,   174
777,839.416,178.000000,   178
778,835.725,167.000000,   167
779,832.048,172.000000,   172
780,828.387,179.000000,   179
781,824.742,176.000000,   176
782,821.111,168.000000,   168
783,817.496,176.000000,   176
784,813.896,174.000000,   174
785,810.311,177.000000,   177
786,806.741,173.000000,   173
787,803.187,179.000000,   179
788,799.647,177.000000,   177
789,796.123,166.000000,   166
790,792.613,177.000000,   177
791,789.119,172.000000,   172
792,785.639,175.000000,   175
793,782.175,174.000000,   174
794,778.725,171.000000,   171
795,775.291,173.000000,   173
796,771.871,184.000000,   184
797,768.466,176.000000,   176
798,765.076,175.000000,   175
799,761.700,180.000000,   180
800,758.340,178.000000,   178
801,754.994,172.000000,   172
802,751.663,173.000000,   173
803,748.347,169.000000,   169
804,745.045,177.000000,   177
805,741.758,176.000000,   176
806,738.485,180.000000,   180
807,735.228,179.000000,   179
808,731.984,178.000000,   178
809,728.756,170.000000,   170
810,725.541,174.000000,   174
811,722.342,173.000000,   173
812,719.156,178.000000,   178
813,715.985,175.000000,   175
814,712.829,180.000000,   180
815,709.687,180.000000,   180
816,706.559,173.000000,   173
817,703.446,179.000000,   179
818,700.347,173.000000,   173
819,697.262,177.000000,   177
820,694.191,172.000000,   172
821,691.135,172.000000,   172
822,688.093,166.000000,   166
823,685.065,180.000000,   180
824,682.051,177.000000,   177
825,679.051,186.000000,   186
826,676.066,176.000000,   176
827,673.094,184.000000,   184
828,670.137,194.000000,   194
829,667.193,190.000000,   190
830,664.264,183.000000,   183
831,661.348,191.000000,   191
832,658.447,190.000000,   190
833,655.559,187.000000,   187
834,652.685,191.000000,   191
835,649.825,192.000000,   192
836,646.979,196.000000,   196
837,644.147,200.000000,   200
838,641.328,208.000000,   208
839,638.523,224.000000,   224
840,635.732,239.000000,   239
841,632.955,252.000000,   252
842,630.191,256.000000,   256
843,627.441,265.000000,   265
844,624.705,271.000000,   271
845,621.982,277.000000,   277
846,619.273,276.000000,   276
847,616.577,268.000000,   268
848,613.895,270.000000,   270
849,611.226,256.000000,   256
850,608.571,243.000000,   243
851,605.929,223.000000,   223
852,603.301,208.000000,   208
853,600.686,195.000000,   195
854,598.084,181.000000,   181
855,595.496,191.000000,   191
856,592.921,178.000000,   178
857,590.359,188.000000,   188
858,587.811,187.000000,   187
859,585.276,187.000000,   187
860,582.754,179.000000,   179
861,580.245,173.000000,   173
862,577.749,185.000000,   185
863,575.267,186.000000,   186
864,572.797,183.000000,   183
865,570.341,178.000000,   178
866,567.898,183.000000,   183
867,565.467,173.000000,   173
868,563.050,170.000000,   170
869,560.646,183.000000,   183
870,558.254,181.000000,   181
871,555.876,175.000000,   175
872,553.510,175.000000,   175
873,551.157,179.000000,   179
874,548.817,171.000000,   171
875,546.490,171.000000,   171
876,544.176,178.000000,   178
877,541.875,172.000000,   172
878,539.586,179.000000,   179
879,537.310,175.000000,   175
880,535.046,186.000000,   186
881,532.795,172.000000,   172
882,530.557,171.000000,   171
883,528.332,179.000000,   179
884,526.119,181.000000,   181
885,523.918,176.000000,   176
886,521.730,181.000000,   181
887,519.555,177.000000,   177
888,517.392,169.000000,   169
889,515.242,181.000000,   181
890,513.104,167.000000,   167
891,510.978,169.000000,   169
892,508.865,183.000000,   183
893,506.764,178.000000,   178
894,504.675,176.000000,   176
895,502.599,176.000000,   176
896,500.535,175.000000,   175
897,498.483,177.000000,   177
898,496.443,176.000000,   176
899,494.416,167.000000,   167
900,492.400,182.000000,   182
901,490.397,184.000000,   184
902,488.406,177.000000,   177
903,486.427,182.000000,   182
904,484.460,174.000000,   174
905,482.505,175.000000,   175
906,480.562,176.000000,   176
907,478.631,170.000000,   170
908,476.713,179.000000,   179
909,474.805,175.000000,   175
910,472.910,176.000000,   176
911,471.027,166.000000,   166
912,469.156,178.000000,   178
913,467.296,175.000000,   175
914,465.448,174.000000,   174
915,463.612,174.000000,   174
916,461.788,171.000000,   171
917,459.975,177.000000,   177
918,458.174,179.000000,   179
