Pixel No,Average,L1
673,11122.000000, 11122
674,11239.000000, 11239
675,11232.000000, 11232
676,11255.000000, 11255
677,11260.000000, 11260
678,11321.000000, 11321
679,11318.000000, 11318
680,11335.000000, 11335
681,11337.000000, 11337
682,11402.000000, 11402
683,11417.000000, 11417
684,11451.000000, 11451
685,11454.000000, 11454
686,11477.000000, 11477
687,11479.000000, 11479
688,11524.000000, 11524
689,11530.000000, 11530
690,11585.000000, 11585
691,11579.000000, 11579
692,11621.000000, 11621
693,11625.000000, 11625
694,11662.000000, 11662
695,11656.000000, 11656
696,11693.000000, 11693
697,11725.000000, 11725
698,11757.000000, 11757
699,11743.000000, 11743
700,11771.000000, 11771
701,11820.000000, 11820
702,11856.000000, 11856
703,11845.000000, 11845
704,11885.000000, 11885
705,11844.000000, 11844
706,11906.000000, 11906
707,11913.000000, 11913
708,11928.000000, 11928
709,12019.000000, 12019
710,12074.000000, 12074
711,12036.000000, 12036
712,12087.000000, 12087
713,12093.000000, 12093
714,12130.000000, 12130
715,12130.000000, 12130
716,12177.000000, 12177
717,12161.000000, 12161
718,12195.000000, 12195
719,12177.000000, 12177
720,12273.000000, 12273
721,12230.000000, 12230
722,12327.000000, 12327
723,12345.000000, 12345
724,12393.000000, 12393
725,12408.000000, 12408
726,12431.000000, 12431
727,12463.000000, 12463
728,12457.000000, 12457
729,12493.000000, 12493
730,12563.000000, 12563
731,12505.000000, 12505
732,12533.000000, 12533
733,12459.000000, 12459
734,12485.000000, 12485
735,12440.000000, 12440
736,12520.000000, 12520
737,12585.000000, 12585
738,12728.000000, 12728
739,12768.000000, 12768
740,12731.000000, 12731
741,12702.000000, 12702
742,12697.000000, 12697
743,12690.000000, 12690
744,12753.000000, 12753
745,12745.000000, 12745
746,12838.000000, 12838
747,12923.000000, 12923
748,12920.000000, 12920
749,12959.000000, 12959
750,12989.000000, 12989
751,13048.000000, 13048
752,13092.000000, 13092
753,13042.000000, 13042
754,13106.000000, 13106
755,13136.000000, 13136
756,13232.000000, 13232
757,13221.000000, 13221
758,13295.000000, 13295
759,13311.000000, 13311
760,13326.000000, 13326
761,13345.000000, 13345
762,13394.000000, 13394
763,13401.000000, 13401
764,13474.000000, 13474
765,13446.000000, 13446
766,13432.000000, 13432
767,13562.000000, 13562
768,13588.000000, 13588
769,13539.000000, 13539
770,13518.000000, 13518
771,13592.000000, 13592
772,13678.000000, 13678
773,13738.000000, 13738
774,13699.000000, 13699
775,13698.000000, 13698
776,13726.000000, 13726
777,13758.000000, 13758
778,13821.000000, 13821
779,13875.000000, 13875
780,13895.000000, 13895
781,13894.000000, 13894
782,14013.000000, 14013
783,13980.000000, 13980
784,13991.000000, 13991
785,14016.000000, 14016
786,14065.000000, 14065
787,14150.000000, 14150
788,14158.000000, 14158
789,14162.000000, 14162
790,14167.000000, 14167
791,14251.000000, 14251
792,14270.000000, 14270
793,14256.000000, 14256
794,14341.000000, 14341
795,14354.000000, 14354
796,14325.000000, 14325
797,14301.000000, 14301
798,14367.000000, 14367
799,14401.000000, 14401
800,14463.000000, 14463
801,14402.000000, 14402
802,14529.000000, 14529
803,14466.000000, 14466
804,14458.000000, 14458
805,14474.000000, 14474
806,14492.000000, 14492
807,14522.000000, 14522
808,14532.000000, 14532
809,14557.000000, 14557
810,14631.000000, 14631
811,14629.000000, 14629
812,14669.000000, 14669
813,14683.000000, 14683
814,14648.000000, 14648
815,14662.000000, 14662
816,14778.000000, 14778
817,14766.000000, 14766
818,14857.000000, 14857
819,14835.000000, 14835
820,14737.000000, 14737
821,14781.000000, 14781
822,14887.000000, 14887
823,14861.000000, 14861
824,14962.000000, 14962
825,14879.000000, 14879
826,14909.000000, 14909
827,14880.000000, 14880
828,14789.000000, 14789
829,14864.000000, 14864
830,14862.000000, 14862
831,14850.000000, 14850
832,14808.000000, 14808
833,14915.000000, 14915
834,14915.000000, 14915
835,14908.000000, 14908
836,14838.000000, 14838
837,14862.000000, 14862
838,14938.000000, 14938
839,14924.000000, 14924
840,14942.000000, 14942
841,14942.000000, 14942
842,14983.000000, 14983
843,14902.000000, 14902
844,14970.000000, 14970
845,15002.000000, 15002
846,15038.000000, 15038
847,14993.000000, 14993
848,14992.000000, 14992
849,15074.000000, 15074
850,15008.000000, 15008
851,15031.000000, 15031
852,14967.000000, 14967
853,15086.000000, 15086
854,15099.000000, 15099
855,14991.000000, 14991
856,15134.000000, 15134
857,15106.000000, 15106
858,15054.000000, 15054
859,15020.000000, 15020
860,15019.000000, 15019
861,15189.000000, 15189
862,15156.000000, 15156
863,15149.000000, 15149
864,15134.000000, 15134
865,15142.000000, 15142
866,15168.000000, 15168
867,15152.000000, 15152
868,15206.000000, 15206
869,15190.000000, 15190
870,15210.000000, 15210
871,15191.000000, 15191
872,15130.000000, 15130
873,15135.000000, 15135
874,15216.000000, 15216
875,15184.000000, 15184
876,15197.000000, 15197
877,15253.000000, 15253
878,15202.000000, 15202
879,15224.000000, 15224
880,15249.000000, 15249
881,15180.000000, 15180
882,15226.000000, 15226
883,15231.000000, 15231
884,15309.000000, 15309
885,15297.000000, 15297
886,15306.000000, 15306
887,15194.000000, 15194
888,15268.000000, 15268
889,15324.000000, 15324
890,15331.000000, 15331
891,15273.000000, 15273
892,15230.000000, 15230
893,15292.000000, 15292
894,15302.000000, 15302
895,15285.000000, 15285
896,15269.000000, 15269
897,15342.000000, 15342
898,15314.000000, 15314
899,15309.000000, 15309
900,15333.000000, 15333
901,15381.000000, 15381
902,15357.000000, 15357
903,15375.000000, 15375
904,15303.000000, 15303
905,15295.000000, 15295
906,15377.000000, 15377
907,15355.000000, 15355
908,15326.000000, 15326
909,15286.000000, 15286
910,15357.000000, 15357
911,15332.000000, 15332
912,15352.000000, 15352
913,15414.000000, 15414
914,15289.000000, 15289
915,15314.000000, 15314
916,15372.000000, 15372
917,15363.000000, 15363
918,15317.000000, 15317
919,15335.000000, 15335
920,15373.000000, 15373
921,15416.000000, 15416
922,15474.000000, 15474
923,15409.000000, 15409
924,15493.000000, 15493
925,15294.000000, 15294
926,15467.000000, 15467
927,15461.000000, 15461
928,15425.000000, 15425
929,15341.000000, 15341
930,15428.000000, 15428
931,15330.000000, 15330
932,15401.000000, 15401
933,15428.000000, 15428
934,15406.000000, 15406
935,15434.000000, 15434
936,15506.000000, 15506
937,15437.000000, 15437
938,15503.000000, 15503
939,15473.000000, 15473
940,15506.000000, 15506
941,15483.000000, 15483
942,15495.000000, 15495
943,15409.000000, 15409
944,15496.000000, 15496
945,15414.000000, 15414
946,15397.000000, 15397
947,15539.000000, 15539
948,15414.000000, 15414
949,15387.000000, 15387
950,15480.000000, 15480
951,15480.000000, 15480
952,15513.000000, 15513
953,15549.000000, 15549
954,15566.000000, 15566
955,15543.000000, 15543
956,15587.000000, 15587
957,15379.000000, 15379
958,15469.000000, 15469
959,15458.000000, 15458
960,15419.000000, 15419
961,15471.000000, 15471
962,15446.000000, 15446
963,15540.000000, 15540
964,15558.000000, 15558
965,15498.000000, 15498
966,15569.000000, 15569
967,15552.000000, 15552
968,15444.000000, 15444
969,15470.000000, 15470
970,15588.000000, 15588
971,15526.000000, 15526
972,15604.000000, 15604
973,15458.000000, 15458
974,15530.000000, 15530
975,15518.000000, 15518
976,15588.000000, 15588
977,15561.000000, 15561
978,15642.000000, 15642
979,15550.000000, 15550
980,15539.000000, 15539
981,15460.000000, 15460
982,15459.000000, 15459
983,15418.000000, 15418
984,15476.000000, 15476
985,15500.000000, 15500
986,15462.000000, 15462
987,15463.000000, 15463
988,15462.000000, 15462
989,15457.000000, 15457
990,15473.000000, 15473
991,15446.000000, 15446
992,15585.000000, 15585
993,15530.000000, 15530
994,15546.000000, 15546
995,15524.000000, 15524
996,15570.000000, 15570
997,15576.000000, 15576
998,15588.000000, 15588
999,15535.000000, 15535
1000,15545.000000, 15545
1001,15620.000000, 15620
1002,15626.000000, 15626
1003,15603.000000, 15603
1004,15577.000000, 15577
1005,15610.000000, 15610
1006,15702.000000, 15702
1007,15556.000000, 15556
1008,15599.000000, 15599
1009,15621.000000, 15621
1010,15676.000000, 15676
1011,15643.000000, 15643
1012,15736.000000, 15736
1013,15711.000000, 15711
1014,15664.000000, 15664
1015,15693.000000, 15693
1016,15742.000000, 15742
1017,15735.000000, 15735
1018,15733.000000, 15733
1019,15727.000000, 15727
1020,15684.000000, 15684
1021,15652.000000, 15652
1022,15730.000000, 15730
1023,15703.000000, 15703
1024,15725.000000, 15725
1025,15725.000000, 15725
1026,15734.000000, 15734
1027,15731.000000, 15731
1028,15673.000000, 15673
1029,15589.000000, 15589
1030,15645.000000, 15645
1031,15598.000000, 15598
1032,15665.000000, 15665
1033,15726.000000, 15726
1034,15784.000000, 15784
1035,15668.000000, 15668
1036,15730.000000, 15730
1037,15549.000000, 15549
1038,15721.000000, 15721
1039,15702.000000, 15702
1040,15662.000000, 15662
1041,15637.000000, 15637
1042,15645.000000, 15645
1043,15684.000000, 15684
