Type:,WAVELENGH DATA FILE
Exposure Time:,10 m.Sec
Gain:,1
Offset:,10
Line Count:,1


Pixel No,WaveLength(nm),Average,L1
586,480586.929,728.000000,   728
587,483020.057,727.000000,   727
588,485461.386,712.000000,   712
589,487910.929,724.000000,   724
590,490368.700,727.000000,   727
591,492834.713,743.000000,   743
592,495308.982,724.000000,   724
593,497791.521,728.000000,   728
594,500282.343,720.000000,   720
595,502781.463,705.000000,   705
596,505288.893,727.000000,   727
597,507804.648,737.000000,   737
598,510328.742,726.000000,   726
599,512861.188,729.000000,   729
600,515402.000,712.000000,   712
601,517951.192,730.000000,   730
602,520508.778,720.000000,   720
603,523074.772,715.000000,   715
604,525649.187,728.000000,   728
605,528232.037,716.000000,   716
606,530823.337,728.000000,   728
607,533423.099,721.000000,   721
608,536031.338,717.000000,   717
609,538648.067,717.000000,   717
610,541273.300,712.000000,   712
611,543907.051,735.000000,   735
612,546549.334,722.000000,   722
613,549200.163,712.000000,   712
614,551859.551,711.000000,   711
615,554527.512,725.000000,   725
616,557204.061,719.000000,   719
617,559889.210,719.000000,   719
618,562582.974,722.000000,   722
619,565285.366,725.000000,   725
620,567996.400,735.000000,   735
621,570716.090,715.000000,   715
622,573444.450,720.000000,   720
623,576181.494,722.000000,   722
624,578927.235,719.000000,   719
625,581681.688,714.000000,   714
626,584444.865,721.000000,   721
627,587216.781,736.000000,   736
628,589997.450,731.000000,   731
629,592786.885,724.000000,   724
630,595585.100,724.000000,   724
631,598392.109,726.000000,   726
632,601207.926,733.000000,   733
633,604032.565,738.000000,   738
634,606866.039,719.000000,   719
635,609708.362,723.000000,   723
636,612559.549,720.000000,   720
637,615419.612,731.000000,   731
638,618288.566,712.000000,   712
639,621166.424,719.000000,   719
640,624053.200,728.000000,   728
641,626948.908,729.000000,   729
642,629853.562,732.000000,   732
643,632767.176,731.000000,   731
644,635689.763,719.000000,   719
645,638621.338,741.000000,   741
646,641561.913,729.000000,   729
647,644511.503,722.000000,   722
648,647470.122,713.000000,   713
649,650437.783,731.000000,   731
650,653414.500,720.000000,   720
651,656400.287,729.000000,   729
652,659395.158,727.000000,   727
653,662399.127,713.000000,   713
654,665412.207,718.000000,   718
655,668434.412,725.000000,   725
656,671465.757,740.000000,   740
657,674506.254,709.000000,   709
658,677555.918,719.000000,   719
659,680614.762,719.000000,   719
660,683682.800,723.000000,   723
661,686760.046,724.000000,   724
662,689846.514,718.000000,   718
663,692942.218,729.000000,   729
664,696047.171,719.000000,   719
665,699161.388,715.000000,   715
666,702284.881,728.000000,   728
667,705417.665,723.000000,   723
668,708559.754,721.000000,   721
669,711711.161,723.000000,   723
670,714871.900,704.000000,   704
671,718041.985,715.000000,   715
672,721221.430,714.000000,   714
673,724410.249,694.000000,   694
